Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	135	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_134	0	44	1081	94	31.794117647058822	25.0
MADAME TOURVEL	MADAME DE ROSEMONDE	136	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_135	0	11	826	63	25.8125	21.0
MADAME TOURVEL	VICOMTE DE VALMONT	137	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_136	0	14	236	19	33.714285714285715	16.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	138	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_137	0	37	1147	79	34.75757575757576	28.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	139	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_138	0	10	709	58	29.583333333333332	24.5
MADAME TOURVEL	MADAME DE ROSEMONDE	140	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_139	0	8	374	30	37.4	18.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	141	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_140	0	9	804	56	36.54545454545455	36.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	142	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_141	1	36	1096	95	30.416666666666668	20.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	143	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_142	0	6	349	34	31.727272727272727	33.0
MADAME TOURVEL	MADAME DE ROSEMONDE	144	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_143	0	1	228	19	13.411764705882353	13.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	145	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_144	0	9	975	80	30.46875	27.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	146	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_145	0	41	708	60	30.782608695652176	27.0
MARQUISE DE MERTEUIL	CHEVALIER DANCENY	147	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_146	0	16	438	33	21.9	21.0
MADAME DE VOLANGES	MADAME DE ROSEMONDE	148	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_147	0	5	1168	103	27.952380952380953	23.0
CHEVALIER DANCENY	MADAME DE MERTEUIL	149	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_148	6	7	503	43	27.944444444444443	23.0
MADAME DE VOLANGES	MADAME DE ROSEMONDE	150	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_149	0	10	1110	89	29.31578947368421	27.0
CHEVALIER DANCENY	MARQUISE DE MERTEUIL	151	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_150	11	0	740	65	41.111111111111114	33.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	152	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_151	0	30	819	60	30.333333333333332	26.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	153	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_152	0	46	942	66	24.789473684210527	19.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	154	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_153	0	18	378	20	29.153846153846153	31.0
MADAME DE VOLANGES	MADAME DE ROSEMONDE	155	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_154	0	5	266	18	17.733333333333334	14.0
VICOMTE DE VALMONT	CHEVALIER DANCENY	156	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_155	0	44	1111	111	32.6764705882353	28.5
CÉCILE VOLANGES	CHEVALIER DANCENY	157	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_156	0	38	625	47	32.89473684210526	31.0
CHEVALIER DANCENY	VICOMTE DE VALMONT	158	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_157	0	7	449	29	23.68421052631579	20.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	159	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_158	0	17	445	33	37.083333333333336	43.5
